match_no,home_team,away_team,err,xg_h,xg_a,passes_h,passes_h2,passes_a,passes_a2,linebreaks_h,linebreaks_a,recff_h,recff_a,progress_h,progress_a,pressures_h,pressures_h2,pressures_a,pressures_a2,turnovers_h,turnovers_a,secondballs_h,secondballs_a,dist_h,dist_a,zone4_h,zone4_a
38,Spain,Saudi Arabia,,3.2,0.11,743.0,688.0,389.0,309.0,159.0,77.0,259.0,63.0,25.0,19.0,214.0,30.0,413.0,34.0,44.0,42.0,87.0,54.0,115.5,115.0,5.9,6.7
39,Belgium,Iran,,1.48,0.48,637.0,562.0,275.0,201.0,120.0,40.0,267.0,46.0,33.0,9.0,121.0,13.0,343.0,49.0,45.0,43.0,90.0,59.0,111.7,112.6,5.2,5.2
40,New Zealand,Egypt,,0.71,2.1,437.0,355.0,544.0,486.0,85.0,110.0,80.0,167.0,23.0,17.0,289.0,47.0,249.0,45.0,39.0,51.0,76.0,72.0,118.5,118.3,6.8,7.1
41,Norway,Senegal,,1.5,2.05,361.0,295.0,504.0,447.0,68.0,99.0,87.0,181.0,19.0,27.0,224.0,33.0,233.0,41.0,32.0,36.0,55.0,74.0,120.3,111.2,6.5,6.1
42,France,Iraq,,2.3,0.7,604.0,553.0,502.0,431.0,117.0,89.0,246.0,50.0,38.0,26.0,257.0,35.0,304.0,43.0,42.0,37.0,79.0,55.0,107.7,112.1,4.7,4.5
43,Argentina,Austria,,2.45,0.63,564.0,509.0,475.0,416.0,87.0,91.0,103.0,146.0,14.0,18.0,229.0,35.0,299.0,48.0,41.0,31.0,53.0,65.0,104.4,107.8,4.5,4.9
44,Jordan,Algeria,,0.38,2.05,270.0,201.0,661.0,590.0,71.0,99.0,49.0,182.0,29.0,39.0,355.0,76.0,199.0,48.0,47.0,55.0,67.0,85.0,117.5,116.3,5.9,6.6
45,England,Ghana,,1.78,0.34,652.0,605.0,179.0,128.0,106.0,36.0,218.0,24.0,31.0,11.0,105.0,39.0,298.0,50.0,25.0,31.0,65.0,32.0,108.3,105.9,5.1,4.3
46,Panama,Croatia,,0.69,0.82,356.0,282.0,518.0,445.0,80.0,75.0,97.0,96.0,24.0,19.0,269.0,58.0,236.0,51.0,44.0,47.0,81.0,65.0,108.2,110.0,5.8,6.9
47,Portugal,Ghana,,2.03,0.44,639.0,577.0,347.0,278.0,135.0,63.0,179.0,63.0,43.0,21.0,197.0,43.0,338.0,44.0,37.0,49.0,67.0,61.0,110.2,109.6,6.0,6.5
48,Colombia,DR Congo,,1.54,0.42,548.0,475.0,315.0,236.0,94.0,51.0,146.0,56.0,14.0,10.0,155.0,31.0,300.0,47.0,40.0,40.0,64.0,59.0,104.0,106.0,5.0,5.1
49,Scotland,Brazil,,0.69,3.78,520.0,466.0,615.0,571.0,99.0,108.0,96.0,139.0,15.0,20.0,241.0,34.0,227.0,24.0,33.0,28.0,49.0,53.0,113.2,110.7,4.4,4.2
50,Morocco,Haiti,,2.12,0.65,557.0,495.0,265.0,212.0,124.0,49.0,157.0,40.0,39.0,32.0,172.0,57.0,331.0,50.0,38.0,50.0,64.0,59.0,111.2,107.5,6.8,5.9
51,Switzerland,Canada,,1.68,1.61,471.0,389.0,353.0,275.0,95.0,87.0,55.0,103.0,16.0,21.0,216.0,50.0,299.0,44.0,49.0,50.0,53.0,64.0,109.9,114.6,5.2,7.1
52,Bosnia and Herzegovina,Qatar,,0.77,1.17,521.0,461.0,457.0,388.0,99.0,90.0,92.0,94.0,29.0,13.0,248.0,41.0,264.0,37.0,43.0,42.0,59.0,55.0,113.8,110.0,5.5,5.4
53,Czech Republic,Mexico,,0.44,2.1,423.0,352.0,394.0,340.0,82.0,71.0,80.0,109.0,18.0,14.0,213.0,27.0,233.0,23.0,38.0,35.0,66.0,51.0,111.6,114.7,5.3,5.5
54,South Africa,South Korea,,0.89,0.74,345.0,279.0,718.0,657.0,69.0,114.0,53.0,187.0,21.0,15.0,321.0,37.0,199.0,27.0,40.0,28.0,68.0,63.0,111.8,111.0,5.4,5.4
55,Curaçao,Ivory Coast,,0.66,0.93,369.0,312.0,644.0,574.0,78.0,116.0,69.0,131.0,27.0,26.0,299.0,62.0,201.0,43.0,43.0,44.0,57.0,65.0,106.2,106.4,5.5,5.3
56,Ecuador,Germany,,1.29,0.74,389.0,325.0,612.0,537.0,61.0,114.0,93.0,146.0,24.0,25.0,299.0,58.0,231.0,41.0,49.0,51.0,66.0,85.0,109.8,114.5,6.1,6.3
57,Japan,Sweden,,1.22,0.56,454.0,381.0,410.0,330.0,79.0,72.0,95.0,111.0,16.0,18.0,221.0,47.0,201.0,26.0,42.0,37.0,62.0,74.0,110.2,111.1,5.3,5.1
58,Tunisia,Netherlands,,0.76,1.79,265.0,208.0,668.0,619.0,56.0,115.0,54.0,233.0,15.0,25.0,346.0,51.0,173.0,32.0,34.0,34.0,40.0,61.0,111.1,106.8,5.1,5.3
59,Turkey,United States,,1.71,1.78,456.0,353.0,495.0,424.0,88.0,91.0,106.0,111.0,24.0,19.0,219.0,56.0,267.0,50.0,50.0,47.0,75.0,61.0,115.0,127.6,5.8,7.7
60,Paraguay,Australia,,0.29,0.7,418.0,345.0,526.0,446.0,49.0,86.0,62.0,109.0,18.0,30.0,284.0,62.0,210.0,33.0,51.0,43.0,64.0,93.0,113.1,116.4,5.5,5.6
61,Norway,France,,1.45,1.05,449.0,367.0,549.0,492.0,75.0,98.0,96.0,184.0,24.0,28.0,297.0,43.0,234.0,45.0,38.0,43.0,64.0,68.0,113.5,109.1,6.0,5.6
62,Senegal,Iraq,,2.7,0.21,585.0,523.0,280.0,200.0,107.0,52.0,240.0,41.0,40.0,17.0,162.0,23.0,259.0,48.0,38.0,43.0,71.0,53.0,111.9,104.7,6.1,5.4
63,Egypt,Iran,,0.92,2.24,588.0,525.0,359.0,280.0,97.0,73.0,123.0,87.0,30.0,21.0,169.0,30.0,278.0,45.0,52.0,43.0,76.0,78.0,117.2,118.8,5.9,6.5
64,New Zealand,Belgium,,0.3,3.99,450.0,379.0,530.0,475.0,82.0,118.0,77.0,203.0,17.0,38.0,321.0,51.0,249.0,32.0,32.0,44.0,50.0,82.0,117.6,119.8,6.9,6.9
65,Cape Verde,Saudi Arabia,,1.37,0.35,465.0,402.0,455.0,370.0,113.0,76.0,133.0,95.0,36.0,21.0,206.0,34.0,304.0,66.0,53.0,42.0,83.0,67.0,115.5,113.9,6.2,7.3
66,Uruguay,Spain,,0.22,1.12,305.0,241.0,637.0,570.0,68.0,134.0,94.0,89.0,24.0,37.0,390.0,64.0,215.0,35.0,53.0,49.0,67.0,65.0,113.8,111.2,6.5,5.1
67,Panama,England,,0.72,1.61,306.0,231.0,562.0,500.0,84.0,114.0,48.0,177.0,22.0,25.0,283.0,55.0,228.0,46.0,55.0,44.0,57.0,72.0,111.3,115.2,6.2,7.6
68,Croatia,Ghana,,0.48,0.75,538.0,487.0,466.0,411.0,84.0,50.0,82.0,60.0,27.0,27.0,189.0,30.0,271.0,36.0,32.0,40.0,52.0,47.0,110.5,106.4,5.0,5.0
69,Algeria,Austria,,1.54,1.06,775.0,723.0,405.0,355.0,96.0,70.0,137.0,93.0,26.0,10.0,218.0,30.0,305.0,40.0,39.0,24.0,47.0,56.0,105.2,113.3,4.3,4.6
70,Jordan,Argentina,,0.96,2.52,300.0,239.0,824.0,762.0,66.0,130.0,61.0,144.0,30.0,25.0,471.0,48.0,184.0,39.0,37.0,42.0,44.0,48.0,110.6,105.9,4.9,4.7
71,Colombia,Portugal,,1.85,0.97,547.0,491.0,456.0,421.0,114.0,99.0,178.0,121.0,20.0,32.0,218.0,23.0,303.0,29.0,36.0,37.0,60.0,38.0,103.0,104.0,5.0,4.8
72,DR Congo,Uzbekistan,,2.11,0.16,495.0,419.0,378.0,283.0,106.0,80.0,131.0,90.0,41.0,16.0,191.0,31.0,342.0,62.0,54.0,54.0,93.0,74.0,115.1,115.8,5.5,5.6
