espn_id,date,kickoff_utc,stage,home_team,away_team,home_score,away_score,total_goals,gd,outcome,winner,p_home,p_draw,p_away,brier,fav_side,p_fav,upset,fav_won,venue_city,stadium,lat,lon,tz,local_hour,daypart,temp_c,humidity_pct,apparent_c,heat_humidity_index,venue_env,open_air,tournament_day,matchday_mean,rest_days_min,wet_bulb_ko,wet_bulb_2h,radiation_ko,radiation_2h,wind_ko,wind_2h,cloud_ko,cloud_2h,precip_ko,precip_2h,err,attendance,fouls_h,yellows_h,reds_h,poss_h,shots_h,eacc_passes_h,epasses_h,fouls_a,yellows_a,reds_a,poss_a,shots_a,eacc_passes_a,epasses_a,delays,first_sub_h,subs_by60_h,first_sub_a,subs_by60_a,passes_total,fouls_total,cards_total,first_sub_mean,subs_by60_total,xg_h,xg_a,passes_h,passes_h2,passes_a,passes_a2,linebreaks_h,linebreaks_a,recff_h,recff_a,progress_h,progress_a,pressures_h,pressures_h2,pressures_a,pressures_a2,turnovers_h,turnovers_a,secondballs_h,secondballs_a,dist_h,dist_a,zone4_h,zone4_a,dist_total,zone4_total,xg_total,pass_tempo
760435,2026-06-17,2026-06-17 17:00:00+00:00,group,Portugal,DR Congo,1,1,2,0,D,,0.6084,0.2397,0.1519,0.9713,H,0.6084,1.0,0.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),28.6,79.0,33.2,22.594,indoor_ac,0,6.708333333333333,1.0,,25.6,25.333333333333332,720.0,735.0,18.1,17.599999999999998,76.0,71.66666666666667,1.1,0.6666666666666666,,68777,9.0,3.0,0.0,75.4,7.0,724.0,783.0,10.0,1.0,0.0,24.6,8.0,195.0,249.0,4,45,1,57,1,1032.0,19.0,4.0,51.0,2,0.57,0.54,804.0,740.0,268.0,214.0,146.0,60.0,222.0,62.0,27.0,24.0,183.0,24.0,407.0,41.0,29.0,42.0,70.0,46.0,109.8,112.4,5.7,6.0,222.2,11.7,1.1099999999999999,1072.0
760437,2026-06-17,2026-06-17 20:00:00+00:00,group,England,Croatia,4,2,6,2,H,England,0.5287,0.2625,0.2088,0.3346,H,0.5287,0.0,1.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,15.0,afternoon(15-18),32.5,52.0,35.2,16.9,indoor_ac,0,6.833333333333333,1.0,,24.9,25.13333333333333,797.0,778.6666666666666,21.4,20.6,6.0,9.0,0.0,0.0,,70389,10.0,0.0,0.0,51.7,22.0,406.0,474.0,12.0,0.0,0.0,48.3,10.0,381.0,443.0,6,72,0,58,1,917.0,22.0,0.0,65.0,1,3.33,0.82,482.0,421.0,459.0,399.0,82.0,85.0,78.0,89.0,23.0,20.0,262.0,38.0,295.0,50.0,36.0,35.0,63.0,48.0,117.0,113.7,6.6,6.4,230.7,13.0,4.15,941.0
760434,2026-06-17,2026-06-17 23:00:00+00:00,group,Ghana,Panama,1,0,1,1,H,Ghana,0.1563,0.2422,0.6015,1.1323,A,0.6015,1.0,0.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,19.0,evening(18-21),18.7,75.0,18.1,14.025,open,1,6.958333333333333,1.0,,15.6,15.666666666666666,58.0,39.0,12.9,10.366666666666667,100.0,100.0,0.2,0.3333333333333333,,42942,9.0,1.0,0.0,38.0,7.0,292.0,352.0,11.0,2.0,0.0,62.0,11.0,503.0,583.0,12,45,3,63,0,935.0,20.0,3.0,54.0,3,0.98,0.77,362.0,304.0,597.0,526.0,70.0,105.0,66.0,114.0,36.0,22.0,294.0,60.0,201.0,62.0,49.0,48.0,70.0,75.0,119.0,117.3,6.2,5.7,236.3,11.9,1.75,959.0
760436,2026-06-18,2026-06-18 02:00:00+00:00,group,Uzbekistan,Colombia,1,3,4,-2,A,Colombia,0.1583,0.2431,0.5987,0.2452,A,0.5987,0.0,1.0,Mexico City,Estadio Azteca,19.3029,-99.1505,America/Mexico_City,20.0,evening(18-21),17.9,82.0,19.3,14.678,open,1,7.083333333333333,1.0,,15.7,15.333333333333334,1.0,0.3333333333333333,1.1,1.3,100.0,56.0,0.2,0.06666666666666667,,80824,14.0,1.0,0.0,38.6,8.0,243.0,319.0,11.0,1.0,0.0,61.4,15.0,444.0,519.0,8,45,2,72,0,838.0,25.0,2.0,58.5,2,1.11,1.16,334.0,267.0,534.0,469.0,70.0,72.0,64.0,110.0,20.0,23.0,264.0,36.0,160.0,32.0,32.0,31.0,40.0,60.0,112.0,108.7,4.5,4.7,220.7,9.2,2.27,868.0
760438,2026-06-18,2026-06-18 16:00:00+00:00,group,Czech Republic,South Africa,1,1,2,0,D,,0.4808,0.2722,0.247,0.8219,H,0.4808,1.0,0.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,12.0,midday(<15),27.7,76.0,31.5,21.052,indoor_ac,0,7.666666666666667,2.0,6.583333333333333,24.3,23.766666666666666,589.0,546.0,13.3,11.700000000000001,100.0,99.33333333333333,0.1,0.4000000000000001,,67442,12.0,1.0,0.0,38.3,14.0,272.0,341.0,10.0,2.0,0.0,61.7,17.0,508.0,563.0,6,55,2,45,1,904.0,22.0,3.0,50.0,3,1.36,1.34,352.0,279.0,584.0,518.0,87.0,114.0,73.0,126.0,22.0,20.0,343.0,40.0,233.0,41.0,41.0,44.0,64.0,66.0,119.6,112.0,6.6,5.9,231.6,12.5,2.7,936.0
760439,2026-06-18,2026-06-18 19:00:00+00:00,group,Switzerland,Bosnia and Herzegovina,4,1,5,3,H,Switzerland,0.6407,0.2286,0.1307,0.1984,H,0.6407,0.0,1.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,12.0,midday(<15),21.4,60.0,21.3,12.84,roof_canopy,0,7.791666666666667,2.0,5.0,16.3,16.500000000000004,451.0,557.3333333333334,7.7,8.9,100.0,83.66666666666667,0.0,0.0,,70026,7.0,1.0,0.0,62.3,13.0,516.0,586.0,18.0,2.0,1.0,37.7,5.0,287.0,354.0,7,71,0,63,0,940.0,25.0,6.0,67.0,0,1.85,0.3,601.0,531.0,359.0,289.0,115.0,69.0,166.0,61.0,24.0,24.0,234.0,40.0,339.0,48.0,46.0,42.0,70.0,62.0,114.9,113.1,5.8,5.6,228.0,11.399999999999999,2.15,960.0
760440,2026-06-18,2026-06-18 22:00:00+00:00,group,Canada,Qatar,6,0,6,6,H,Canada,0.7443,0.1832,0.0724,0.1042,H,0.7443,0.0,1.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,15.0,afternoon(15-18),20.3,56.0,19.7,11.368,roof_canopy,0,7.916666666666667,2.0,5.125,14.8,15.333333333333334,867.0,775.3333333333334,17.5,17.2,51.0,50.666666666666664,0.0,0.0,,52497,9.0,1.0,0.0,79.0,32.0,515.0,567.0,10.0,1.0,2.0,21.0,2.0,104.0,162.0,14,45,2,40,4,729.0,19.0,8.0,42.5,6,3.9,0.2,575.0,535.0,166.0,107.0,131.0,23.0,416.0,11.0,16.0,7.0,107.0,27.0,274.0,43.0,31.0,23.0,89.0,34.0,111.2,90.8,5.7,3.7,202.0,9.4,4.1,741.0
760441,2026-06-19,2026-06-19 01:00:00+00:00,group,Mexico,South Korea,1,0,1,1,H,Mexico,0.4818,0.272,0.2461,0.4031,H,0.4818,0.0,1.0,Guadalajara,Estadio Akron,20.6819,-103.4625,America/Mexico_City,19.0,evening(18-21),20.9,80.0,22.0,16.72,open,1,8.041666666666666,2.0,6.958333333333333,18.3,17.96666666666667,127.0,47.333333333333336,10.2,9.933333333333334,68.0,55.666666666666664,0.2,0.10000000000000002,,45522,9.0,0.0,0.0,42.4,8.0,349.0,427.0,7.0,2.0,0.0,57.6,9.0,488.0,578.0,6,71,0,57,2,1005.0,16.0,2.0,64.0,2,0.34,0.87,432.0,360.0,593.0,510.0,76.0,75.0,56.0,84.0,18.0,16.0,265.0,39.0,217.0,37.0,46.0,48.0,69.0,62.0,116.5,112.1,5.3,5.3,228.6,10.6,1.21,1025.0
760442,2026-06-19,2026-06-19 19:00:00+00:00,group,United States,Australia,2,0,2,2,H,United States,0.376,0.2821,0.3418,0.5858,H,0.376,0.0,1.0,"Seattle, Washington",Lumen Field,47.5952,-122.3316,America/Los_Angeles,12.0,midday(<15),23.2,45.0,23.0,10.44,open,1,8.791666666666666,2.0,5.625,15.6,15.766666666666666,759.0,836.6666666666666,10.4,10.933333333333332,55.0,62.0,0.0,0.0,,66925,12.0,3.0,0.0,61.9,10.0,444.0,523.0,16.0,4.0,0.0,38.1,5.0,219.0,310.0,14,74,0,45,3,833.0,28.0,7.0,59.5,3,1.58,0.31,531.0,465.0,308.0,238.0,95.0,71.0,126.0,89.0,33.0,31.0,167.0,50.0,262.0,40.0,39.0,40.0,65.0,70.0,111.1,112.8,5.5,6.2,223.89999999999998,11.7,1.8900000000000001,839.0
760445,2026-06-19,2026-06-19 22:00:00+00:00,group,Scotland,Morocco,0,1,1,-1,A,Morocco,0.2514,0.2731,0.4755,0.4129,A,0.4755,0.0,1.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,18.0,evening(18-21),24.2,45.0,21.8,10.89,open,1,8.916666666666666,2.0,5.875,16.5,15.799999999999999,405.0,242.0,19.2,17.599999999999998,16.0,10.666666666666666,0.0,0.0,,64146,11.0,1.0,0.0,41.1,6.0,388.0,456.0,8.0,1.0,0.0,58.9,12.0,600.0,670.0,10,60,1,84,0,1126.0,19.0,2.0,72.0,1,0.74,0.8,460.0,403.0,676.0,612.0,87.0,83.0,77.0,99.0,26.0,32.0,304.0,36.0,260.0,56.0,39.0,40.0,49.0,61.0,117.8,115.4,5.9,6.4,233.2,12.3,1.54,1136.0
760444,2026-06-20,2026-06-20 00:30:00+00:00,group,Brazil,Haiti,3,0,3,3,H,Brazil,0.7356,0.1877,0.0767,0.111,H,0.7356,0.0,1.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,39.9008,-75.1675,America/New_York,20.5,evening(18-21),26.7,31.0,23.9,8.277,open,1,9.020833333333334,2.0,5.979166666666667,16.1,15.9,110.0,38.666666666666664,15.9,13.233333333333334,43.0,21.666666666666668,0.0,0.0,,68324,13.0,1.0,0.0,56.7,8.0,462.0,525.0,14.0,3.0,0.0,43.3,7.0,332.0,399.0,8,40,1,45,2,924.0,27.0,4.0,42.5,3,1.42,0.26,551.0,484.0,402.0,338.0,105.0,84.0,84.0,88.0,21.0,29.0,195.0,32.0,294.0,58.0,39.0,34.0,50.0,63.0,113.6,112.8,5.9,6.1,226.39999999999998,12.0,1.68,953.0
760443,2026-06-20,2026-06-20 03:00:00+00:00,group,Turkey,Paraguay,0,1,1,-1,A,Paraguay,0.4132,0.2805,0.3063,0.7306,H,0.4132,1.0,0.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,20.0,evening(18-21),20.5,58.0,19.3,11.89,open,1,9.125,2.0,5.958333333333333,15.2,14.700000000000001,134.0,47.666666666666664,11.9,9.133333333333333,0.0,33.0,0.0,0.0,,68827,14.0,1.0,0.0,78.5,32.0,559.0,629.0,15.0,1.0,1.0,21.5,7.0,96.0,178.0,23,45,3,45,1,807.0,29.0,5.0,45.0,4,2.13,0.36,666.0,594.0,171.0,92.0,153.0,45.0,319.0,40.0,43.0,17.0,101.0,36.0,367.0,69.0,41.0,50.0,92.0,61.0,123.3,117.0,5.4,6.3,240.3,11.7,2.4899999999999998,837.0
760447,2026-06-20,2026-06-20 17:00:00+00:00,group,Netherlands,Sweden,5,1,6,4,H,Netherlands,0.5201,0.2645,0.2155,0.3467,H,0.5201,0.0,1.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),27.7,82.0,32.6,22.714,indoor_ac,0,9.708333333333334,2.0,5.625,25.1,25.46666666666667,578.0,678.0,10.3,8.833333333333334,62.0,84.66666666666667,0.5,1.2666666666666666,,68777,9.0,0.0,0.0,50.9,10.0,398.0,449.0,12.0,3.0,0.0,49.1,16.0,361.0,425.0,6,45,3,55,3,874.0,21.0,3.0,50.0,6,2.25,1.3,447.0,398.0,438.0,377.0,96.0,100.0,97.0,118.0,25.0,20.0,232.0,38.0,228.0,38.0,47.0,37.0,54.0,53.0,108.4,110.1,5.5,5.7,218.5,11.2,3.55,885.0
760448,2026-06-20,2026-06-20 20:00:00+00:00,group,Germany,Ivory Coast,2,1,3,1,H,Germany,0.5268,0.2628,0.2103,0.3372,H,0.5268,0.0,1.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,16.0,afternoon(15-18),23.0,38.0,22.3,8.74,open,1,9.833333333333334,2.0,5.875,14.4,14.466666666666667,805.0,652.6666666666666,10.6,10.299999999999999,12.0,42.0,0.0,0.0,,43036,5.0,0.0,0.0,59.5,16.0,555.0,624.0,7.0,0.0,0.0,40.5,9.0,367.0,431.0,12,45,4,75,0,1055.0,12.0,0.0,60.0,4,2.47,1.27,634.0,578.0,449.0,387.0,133.0,92.0,215.0,92.0,28.0,50.0,293.0,59.0,316.0,57.0,47.0,43.0,69.0,60.0,125.8,113.1,7.6,5.3,238.89999999999998,12.899999999999999,3.74,1083.0
760446,2026-06-21,2026-06-21 00:00:00+00:00,group,Ecuador,Curaçao,0,0,0,0,D,,0.7544,0.1781,0.0674,1.2492,H,0.7544,1.0,0.0,"Kansas City, Missouri",Arrowhead Stadium,39.0489,-94.4839,America/Chicago,19.0,evening(18-21),26.5,61.0,27.9,16.165,open,1,10.0,2.0,6.041666666666667,21.0,20.566666666666666,221.0,123.66666666666667,10.8,10.466666666666667,61.0,83.0,0.0,0.0,,68598,7.0,1.0,0.0,74.6,27.0,581.0,644.0,10.0,5.0,0.0,25.4,10.0,159.0,227.0,12,45,1,75,0,871.0,17.0,6.0,60.0,1,2.76,0.63,663.0,601.0,237.0,167.0,125.0,59.0,238.0,50.0,41.0,31.0,155.0,49.0,345.0,50.0,43.0,35.0,92.0,60.0,103.7,106.1,5.4,5.2,209.8,10.600000000000001,3.3899999999999997,900.0
760449,2026-06-21,2026-06-21 04:00:00+00:00,group,Tunisia,Japan,0,4,4,-4,A,Japan,0.07,0.1809,0.7492,0.1005,A,0.7492,0.0,1.0,Guadalupe,Estadio BBVA (Monterrey),25.669,-100.244,America/Monterrey,22.0,night(>=21),23.3,96.0,28.0,22.368,open,1,10.166666666666666,2.0,6.083333333333333,22.8,22.46666666666667,0.0,0.0,3.9,2.6,40.0,60.0,0.0,0.0,,51243,8.0,0.0,0.0,37.9,2.0,284.0,354.0,15.0,0.0,0.0,62.1,11.0,521.0,583.0,6,45,2,73,0,937.0,23.0,0.0,59.0,2,0.02,1.36,376.0,305.0,593.0,535.0,58.0,85.0,55.0,119.0,13.0,17.0,233.0,35.0,219.0,50.0,34.0,35.0,45.0,52.0,112.4,112.2,5.5,5.3,224.60000000000002,10.8,1.3800000000000001,969.0
760453,2026-06-21,2026-06-21 16:00:00+00:00,group,Spain,Saudi Arabia,4,0,4,4,H,Spain,0.8339,0.1324,0.0337,0.0463,H,0.8339,0.0,1.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,12.0,midday(<15),26.8,66.0,30.3,17.688,indoor_ac,0,10.666666666666666,2.0,5.75,22.1,22.26666666666667,601.0,737.6666666666666,4.7,4.8,93.0,94.66666666666667,0.0,0.06666666666666667,,68239,10.0,0.0,0.0,67.1,22.0,668.0,726.0,2.0,2.0,0.0,32.9,3.0,294.0,364.0,9,45,2,45,4,1090.0,12.0,2.0,45.0,6,3.2,0.11,743.0,688.0,389.0,309.0,159.0,77.0,259.0,63.0,25.0,19.0,214.0,30.0,413.0,34.0,44.0,42.0,87.0,54.0,115.5,115.0,5.9,6.7,230.5,12.600000000000001,3.31,1132.0
760451,2026-06-21,2026-06-21 19:00:00+00:00,group,Belgium,Iran,0,0,0,0,D,,0.4595,0.2756,0.2649,0.8061,H,0.4595,1.0,0.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,12.0,midday(<15),22.5,56.0,23.6,12.6,roof_canopy,0,10.791666666666666,2.0,5.75,16.7,16.733333333333334,810.0,911.0,9.6,11.666666666666666,21.0,15.333333333333334,0.0,0.0,,70317,7.0,1.0,1.0,70.1,23.0,533.0,621.0,9.0,1.0,0.0,29.9,7.0,198.0,270.0,9,58,3,45,1,891.0,16.0,5.0,51.5,4,1.48,0.48,637.0,562.0,275.0,201.0,120.0,40.0,267.0,46.0,33.0,9.0,121.0,13.0,343.0,49.0,45.0,43.0,90.0,59.0,111.7,112.6,5.2,5.2,224.3,10.4,1.96,912.0
760450,2026-06-21,2026-06-21 22:00:00+00:00,group,Uruguay,Cape Verde,2,2,4,0,D,,0.6482,0.2257,0.126,1.0356,H,0.6482,1.0,0.0,"Miami Gardens, Florida",Hard Rock Stadium,25.958,-80.2389,America/New_York,18.0,evening(18-21),31.4,58.0,35.3,18.212,open,1,10.916666666666666,2.0,6.0,24.9,25.0,447.0,260.0,7.0,5.733333333333333,82.0,64.33333333333333,0.4,0.2333333333333333,,64003,11.0,2.0,0.0,65.2,17.0,420.0,511.0,4.0,2.0,0.0,34.8,12.0,205.0,278.0,11,70,0,45,3,789.0,15.0,4.0,57.5,3,2.23,0.54,517.0,444.0,293.0,218.0,92.0,62.0,183.0,47.0,31.0,29.0,198.0,43.0,233.0,39.0,41.0,46.0,78.0,61.0,112.8,107.4,6.7,4.7,220.2,11.4,2.77,810.0
