match_key,kickoff_utc,t_lock,t_ko,stage,home,away,home_score,away_score,outcome,kalshi_event_ticker,pm_event_slug,ai_lock_p_home,ai_lock_p_draw,ai_lock_p_away,ai_lock_raw_sum,ai_lock_brier,ai_lock_log_loss,pm_lock_p_home,pm_lock_p_draw,pm_lock_p_away,pm_lock_raw_sum,pm_lock_brier,pm_lock_log_loss,pm_ko_p_home,pm_ko_p_draw,pm_ko_p_away,pm_ko_raw_sum,pm_ko_brier,pm_ko_log_loss,kalshi_lock_p_home,kalshi_lock_p_draw,kalshi_lock_p_away,kalshi_lock_raw_sum,kalshi_lock_brier,kalshi_lock_log_loss,kalshi_ko_p_home,kalshi_ko_p_draw,kalshi_ko_p_away,kalshi_ko_raw_sum,kalshi_ko_brier,kalshi_ko_log_loss
2026-06-17T17:00:00+00:00|Portugal|DR Congo,2026-06-17T17:00:00+00:00,2026-06-17T06:10:00+00:00,2026-06-17T16:55:00+00:00,group,Portugal,DR Congo,1,1,draw,KXWCGAME-26JUN17PORCOD,fifwc-prt-cdr-2026-06-17,0.6084,0.2397,0.1519,1.0,0.9712802599999999,1.4283671375417983,0.7512437810945275,0.17412935323383086,0.0746268656716418,1.005,1.2519987129031462,1.747956846569662,0.7611940298507462,0.16417910447761194,0.07462686567164178,1.0050000000000001,1.2835820895522387,1.8067973465925955,0.7587939698492462,0.1658291457286432,0.07537688442211056,0.9950000000000001,1.2772909775005683,1.7967972632580123,0.7688442211055275,0.1658291457286432,0.06532663316582914,0.9950000000000001,1.2912300194439532,1.7967972632580123
2026-06-17T20:00:00+00:00|England|Croatia,2026-06-17T20:00:00+00:00,2026-06-17T06:10:00+00:00,2026-06-17T19:55:00+00:00,group,England,Croatia,4,2,home,KXWCGAME-26JUN17ENGCRO,fifwc-eng-hrv-2026-06-17,0.5287000000000001,0.26250000000000007,0.20880000000000004,0.9999999999999999,0.33462738000000003,0.6373341157407324,0.5678391959798995,0.25628140703517593,0.17587939698492464,0.9949999999999999,0.2833766824070099,0.5659170060121518,0.5879396984924623,0.24623115577889446,0.1658291457286432,0.995,0.25792277972778466,0.5311308899267363,0.5665024630541872,0.2512315270935961,0.18226600985221678,1.015,0.28425829309131506,0.5682738506785373,0.582089552238806,0.2537313432835821,0.16417910447761197,1.005,0.26598351525952324,0.5411309732613196
2026-06-17T23:00:00+00:00|Ghana|Panama,2026-06-17T23:00:00+00:00,2026-06-17T06:10:00+00:00,2026-06-17T22:55:00+00:00,group,Ghana,Panama,1,0,home,KXWCGAME-26JUN17GHAPAN,fifwc-gha-pan-2026-06-17,0.1563,0.2422,0.6015,1.0,1.13229278,1.8559780415547062,0.4170854271356784,0.2964824120603015,0.2864321608040201,0.9949999999999999,0.5097346026615489,0.8744642169278944,0.3930348258706468,0.31343283582089554,0.2935323383084577,1.005,0.5528080988094353,0.9338570555920541,0.4271356783919598,0.2864321608040201,0.2864321608040201,0.995,0.49226029645716024,0.8506535682341759,0.39698492462311563,0.30653266331658297,0.2964824120603015,0.9949999999999999,0.5454912754728416,0.9238569722574708
2026-06-18T02:00:00+00:00|Uzbekistan|Colombia,2026-06-18T02:00:00+00:00,2026-06-17T06:10:00+00:00,2026-06-18T01:55:00+00:00,group,Uzbekistan,Colombia,1,3,away,KXWCGAME-26JUN17UZBCOL,fifwc-uzb-col-2026-06-17,0.15828417158284172,0.24307569243075694,0.5986401359864014,1.0001,0.24522941166537277,0.5130946360511639,0.09452736318407962,0.1940298507462687,0.7114427860696518,1.005,0.12984827108239894,0.3404602777991683,0.0746268656716418,0.17412935323383086,0.7512437810945275,1.005,0.09776985718175286,0.2860250712441512,0.09547738693467336,0.19597989949748745,0.7085427135678392,0.995,0.13247140223731727,0.34454493434632416,0.07462686567164181,0.17412935323383086,0.7512437810945275,1.005,0.09776985718175288,0.2860250712441512
2026-06-18T16:00:00+00:00|Czech Republic|South Africa,2026-06-18T16:00:00+00:00,2026-06-18T06:10:00+00:00,2026-06-18T15:55:00+00:00,group,Czech Republic,South Africa,1,1,draw,KXWCGAME-26JUN18CZERSA,fifwc-cze-rsa-2026-06-18,0.4808,0.2722,0.247,1.0,0.8218704800000001,1.3012181887647714,0.5175879396984925,0.2663316582914573,0.21608040201005024,0.995,0.8528572510795183,1.3230129111723705,0.5024875621890547,0.28358208955223874,0.21393034825870644,1.0050000000000001,0.811514566471127,1.260253640224526,0.5276381909547739,0.2562814070351759,0.21608040201005024,0.995,0.8782101462084292,1.3614791920001665,0.5024875621890547,0.29353233830845765,0.20398009950248755,1.0050000000000001,0.7931981881636594,1.2257674641533565
2026-06-18T19:00:00+00:00|Switzerland|Bosnia and Herzegovina,2026-06-18T19:00:00+00:00,2026-06-18T06:10:00+00:00,2026-06-18T18:55:00+00:00,group,Switzerland,Bosnia and Herzegovina,4,1,home,KXWCGAME-26JUN18SUIBIH,fifwc-che-bih-2026-06-18,0.6407,0.2286,0.1307,1.0,0.19843693999999995,0.4451939503371611,0.6218905472636816,0.2338308457711443,0.14427860696517414,1.005,0.21845993911041806,0.47499117075677455,0.6218905472636816,0.2338308457711443,0.14427860696517414,1.005,0.21845993911041806,0.47499117075677455,0.628140703517588,0.22613065326633167,0.14572864321608042,0.995,0.21065124618065195,0.4649910874221912,0.6218905472636816,0.2338308457711443,0.14427860696517417,1.005,0.21845993911041806,0.47499117075677455
2026-06-18T22:00:00+00:00|Canada|Qatar,2026-06-18T22:00:00+00:00,2026-06-18T06:10:00+00:00,2026-06-18T21:55:00+00:00,group,Canada,Qatar,6,0,home,KXWCGAME-26JUN18CANQAT,fifwc-can-qat-2026-06-18,0.7443744374437443,0.18321832183218323,0.07240724072407241,0.9999,0.10415619019647743,0.29521109461593875,0.7611940298507462,0.16417910447761194,0.07462686567164178,1.0050000000000001,0.08955223880597016,0.27286698666664033,0.7733990147783251,0.1527093596059113,0.07389162561576354,1.0150000000000001,0.08012812735082143,0.25696017369347934,0.7512437810945273,0.16417910447761194,0.08457711442786067,1.0050000000000001,0.09598772307616152,0.28602507124415155,0.7733990147783251,0.1527093596059113,0.07389162561576355,1.0150000000000001,0.08012812735082143,0.25696017369347934
2026-06-19T01:00:00+00:00|Mexico|South Korea,2026-06-19T01:00:00+00:00,2026-06-18T06:10:00+00:00,2026-06-19T00:55:00+00:00,group,Mexico,South Korea,1,0,home,KXWCGAME-26JUN18MEXKOR,fifwc-mex-kr-2026-06-18,0.48184818481848185,0.27202720272027203,0.24612461246124615,0.9999,0.4030574274549167,0.7301261838010327,0.472636815920398,0.2935323383084577,0.2338308457711443,1.005,0.4189500259894558,0.7494280164585349,0.46733668341708545,0.3065326633165829,0.22613065326633167,0.995,0.42882755485972573,0.7607053315712364,0.4773869346733668,0.2864321608040201,0.23618090452261306,0.995,0.4109492184540795,0.7394279331239516,0.4773869346733668,0.2964824120603015,0.22613065326633167,0.995,0.41216130905785214,0.7394279331239516
2026-06-19T19:00:00+00:00|United States|Australia,2026-06-19T19:00:00+00:00,2026-06-19T06:10:00+00:00,2026-06-19T18:55:00+00:00,group,United States,Australia,2,0,home,KXWCGAME-26JUN19USAAUS,fifwc-usa-aus-2026-06-19,0.37603760376037604,0.28212821282128214,0.3418341834183418,0.9999,0.5857760093441087,0.9780661305919092,0.6142131979695431,0.2182741116751269,0.16751269035532995,0.985,0.22453554587853336,0.4874131831412475,0.6119402985074628,0.2238805970149254,0.16417910447761197,1.005,0.22766763198930715,0.4911205526866581,0.6119402985074628,0.2139303482587065,0.17412935323383086,1.005,0.22667755748620078,0.4911205526866581,0.6157635467980296,0.2118226600985222,0.1724137931034483,1.015,0.22223300735276275,0.48489224173948614
2026-06-19T22:00:00+00:00|Scotland|Morocco,2026-06-19T22:00:00+00:00,2026-06-19T06:10:00+00:00,2026-06-19T21:55:00+00:00,group,Scotland,Morocco,0,1,away,KXWCGAME-26JUN19SCOMAR,fifwc-sco-mar-2026-06-19,0.2514,0.2731,0.4755,1.0,0.41288582,0.7433883969966921,0.17587939698492458,0.2663316582914573,0.5577889447236181,0.9950000000000001,0.2974167319007096,0.5837746234121584,0.15577889447236182,0.2663316582914573,0.5778894472361809,0.995,0.2733769349258858,0.5483726963612424,0.18226600985221678,0.26108374384236455,0.5566502463054187,1.015,0.29794462374723973,0.5858181603294468,0.1527093596059113,0.2610837438423645,0.5862068965517241,1.0150000000000001,0.26270960227134854,0.534082485930258
2026-06-20T00:30:00+00:00|Brazil|Haiti,2026-06-20T00:30:00+00:00,2026-06-19T06:10:00+00:00,2026-06-20T00:25:00+00:00,group,Brazil,Haiti,3,0,home,KXWCGAME-26JUN19BRAHTI,fifwc-bra-hai-2026-06-19,0.7356,0.1877,0.0767,1.0,0.11102154,0.307068786251971,0.8832335329341318,0.08233532934131738,0.0344311377245509,1.002,0.021599017533794684,0.12416563663688057,0.8762376237623762,0.07871287128712871,0.04504950495049505,1.01,0.023542299774531907,0.13211796482737562,0.8805970149253732,0.07462686567164181,0.04477611940298508,1.005,0.02183114279349519,0.1271551754852465,0.8719211822660099,0.07389162561576357,0.054187192118226604,1.015,0.024800407677934424,0.13705624646795814
2026-06-20T03:00:00+00:00|Turkey|Paraguay,2026-06-20T03:00:00+00:00,2026-06-19T06:10:00+00:00,2026-06-20T02:55:00+00:00,group,Turkey,Paraguay,0,1,away,KXWCGAME-26JUN19TURPAR,fifwc-tur-par-2026-06-19,0.4132,0.2805,0.3063,1.0,0.73063418,1.1831902651434074,0.46733668341708545,0.28643216080402006,0.24623115577889446,0.995,0.8686144289285624,1.4014845266138658,0.45728643216080406,0.2964824120603015,0.24623115577889446,0.995,0.8651801722178734,1.4014845266138658,0.472636815920398,0.28358208955223885,0.2437810945273632,1.005,0.875671394272419,1.411484609948449,0.472636815920398,0.28358208955223885,0.2437810945273632,1.005,0.875671394272419,1.411484609948449
2026-06-20T17:00:00+00:00|Netherlands|Sweden,2026-06-20T17:00:00+00:00,2026-06-20T06:10:00+00:00,2026-06-20T16:55:00+00:00,group,Netherlands,Sweden,5,1,home,KXWCGAME-26JUN20NEDSWE,fifwc-nld-swe-2026-06-20,0.52004799520048,0.26447355264473554,0.21547845215478453,1.0001,0.34673115030262797,0.6538341732034436,0.5721393034825871,0.2338308457711443,0.1940298507462687,1.005,0.2753892230390337,0.5583727796958255,0.5678391959798995,0.2361809045226131,0.19597989949748745,0.9949999999999999,0.2809525011994647,0.5659170060121518,0.5609756097560976,0.23902439024390246,0.20000000000000004,1.025,0.2898750743604997,0.578077850775158,0.5721393034825871,0.2338308457711443,0.1940298507462687,1.005,0.2753892230390337,0.5583727796958255
